pipe,node_id,start,finish,cycles
CUBE,9,681,809,128
CUBE,18,1331,1459,128
CUBE,27,1981,2109,128
CUBE,36,2631,2759,128
CUBE,45,3281,3409,128
CUBE,54,3931,4059,128
CUBE,63,4581,4709,128
CUBE,72,5231,5359,128
CUBE,81,5881,6009,128
CUBE,90,6531,6659,128
CUBE,99,7181,7309,128
CUBE,108,7831,7959,128
CUBE,117,8481,8609,128
CUBE,126,9131,9259,128
CUBE,135,9781,9909,128
CUBE,144,10431,10559,128
CUBE,153,10822,10950,128
CUBE,160,11112,11240,128
CUBE,167,11468,11596,128
CUBE,174,11824,11952,128
CUBE,181,12180,12308,128
CUBE,188,12536,12664,128
CUBE,195,12892,13020,128
CUBE,202,13248,13376,128
CUBE,209,13604,13732,128
CUBE,216,13960,14088,128
CUBE,223,14316,14444,128
CUBE,230,14672,14800,128
CUBE,237,15028,15156,128
CUBE,244,15384,15512,128
CUBE,251,15740,15868,128
CUBE,258,16096,16224,128
CUBE,267,16487,16615,128
CUBE,274,16808,16936,128
CUBE,281,17164,17292,128
CUBE,288,17520,17648,128
CUBE,295,17876,18004,128
CUBE,302,18232,18360,128
CUBE,309,18588,18716,128
CUBE,316,18944,19072,128
CUBE,323,19300,19428,128
CUBE,330,19656,19784,128
CUBE,337,20012,20140,128
CUBE,344,20368,20496,128
CUBE,351,20724,20852,128
CUBE,358,21080,21208,128
CUBE,365,21436,21564,128
CUBE,372,21792,21920,128
CUBE,381,22183,22311,128
CUBE,388,22504,22632,128
CUBE,395,22860,22988,128
CUBE,402,23216,23344,128
CUBE,409,23572,23700,128
CUBE,416,23928,24056,128
CUBE,423,24284,24412,128
CUBE,430,24640,24768,128
CUBE,437,24996,25124,128
CUBE,444,25352,25480,128
CUBE,451,25708,25836,128
CUBE,458,26064,26192,128
CUBE,465,26420,26548,128
CUBE,472,26776,26904,128
CUBE,479,27132,27260,128
CUBE,486,27488,27616,128
CUBE,495,27879,28007,128
CUBE,502,28200,28328,128
CUBE,509,28556,28684,128
CUBE,516,28912,29040,128
CUBE,523,29268,29396,128
CUBE,530,29624,29752,128
CUBE,537,29980,30108,128
CUBE,544,30336,30464,128
CUBE,551,30692,30820,128
CUBE,558,31048,31176,128
CUBE,565,31404,31532,128
CUBE,572,31760,31888,128
CUBE,579,32116,32244,128
CUBE,586,32472,32600,128
CUBE,593,32828,32956,128
CUBE,600,33184,33312,128
CUBE,609,33575,33703,128
CUBE,616,33896,34024,128
CUBE,623,34252,34380,128
CUBE,630,34608,34736,128
CUBE,637,34964,35092,128
CUBE,644,35320,35448,128
CUBE,651,35676,35804,128
CUBE,658,36032,36160,128
CUBE,665,36388,36516,128
CUBE,672,36744,36872,128
CUBE,679,37100,37228,128
CUBE,686,37456,37584,128
CUBE,693,37812,37940,128
CUBE,700,38168,38296,128
CUBE,707,38524,38652,128
CUBE,714,38880,39008,128
CUBE,723,39271,39399,128
CUBE,730,39592,39720,128
CUBE,737,39948,40076,128
CUBE,744,40304,40432,128
CUBE,751,40660,40788,128
CUBE,758,41016,41144,128
CUBE,765,41372,41500,128
CUBE,772,41728,41856,128
CUBE,779,42084,42212,128
CUBE,786,42440,42568,128
CUBE,793,42796,42924,128
CUBE,800,43152,43280,128
CUBE,807,43508,43636,128
CUBE,814,43864,43992,128
CUBE,821,44220,44348,128
CUBE,828,44576,44704,128
CUBE,837,44967,45095,128
CUBE,844,45288,45416,128
CUBE,851,45644,45772,128
CUBE,858,46000,46128,128
CUBE,865,46356,46484,128
CUBE,872,46712,46840,128
CUBE,879,47068,47196,128
CUBE,886,47424,47552,128
CUBE,893,47780,47908,128
CUBE,900,48136,48264,128
CUBE,907,48492,48620,128
CUBE,914,48848,48976,128
