node_id,op,pipe,cycles,start,finish,latest_start,slack,on_representative_critical_path,on_any_critical_path
1,ALLOC,,0,0,0,0,0,1,1
3,COPY_IN,MTE2,325,0,325,0,0,1,1
5,ALLOC,,0,0,0,5597,5597,0,0
7,MOVE,MTE1,31,325,356,5597,5272,0,0
2,ALLOC,,0,0,0,325,325,0,0
4,COPY_IN,MTE2,325,325,650,325,0,1,1
6,ALLOC,,0,0,0,5628,5628,0,0
8,MOVE,MTE1,31,650,681,5628,4978,0,0
0,ALLOC,,0,0,0,5659,5659,0,0
9,MATMUL,CUBE,128,681,809,5659,4978,0,0
2947,FREE,,0,809,809,5787,4978,0,0
2948,FREE,,0,809,809,5818,5009,0,0
10,ALLOC,,0,0,0,650,650,0,0
12,COPY_IN,MTE2,325,650,975,650,0,1,1
14,ALLOC,,0,809,809,5787,4978,0,0
16,MOVE,MTE1,31,975,1006,5787,4812,0,0
11,ALLOC,,0,0,0,975,975,0,0
13,COPY_IN,MTE2,325,975,1300,975,0,1,1
15,ALLOC,,0,809,809,5818,5009,0,0
17,MOVE,MTE1,31,1300,1331,5818,4518,0,0
18,MATMUL,CUBE,128,1331,1459,5849,4518,0,0
2951,FREE,,0,1459,1459,5977,4518,0,0
2952,FREE,,0,1459,1459,6008,4549,0,0
19,ALLOC,,0,0,0,1300,1300,0,0
21,COPY_IN,MTE2,325,1300,1625,1300,0,1,1
23,ALLOC,,0,1459,1459,5977,4518,0,0
25,MOVE,MTE1,31,1625,1656,5977,4352,0,0
20,ALLOC,,0,0,0,1625,1625,0,0
22,COPY_IN,MTE2,325,1625,1950,1625,0,1,1
24,ALLOC,,0,1459,1459,6008,4549,0,0
26,MOVE,MTE1,31,1950,1981,6008,4058,0,0
27,MATMUL,CUBE,128,1981,2109,6039,4058,0,0
2955,FREE,,0,2109,2109,6167,4058,0,0
2956,FREE,,0,2109,2109,6198,4089,0,0
28,ALLOC,,0,0,0,1950,1950,0,0
30,COPY_IN,MTE2,325,1950,2275,1950,0,1,1
32,ALLOC,,0,2109,2109,6167,4058,0,0
34,MOVE,MTE1,31,2275,2306,6167,3892,0,0
29,ALLOC,,0,0,0,2275,2275,0,0
31,COPY_IN,MTE2,325,2275,2600,2275,0,1,1
33,ALLOC,,0,2109,2109,6198,4089,0,0
35,MOVE,MTE1,31,2600,2631,6198,3598,0,0
36,MATMUL,CUBE,128,2631,2759,6229,3598,0,0
2959,FREE,,0,2759,2759,6357,3598,0,0
2960,FREE,,0,2759,2759,6388,3629,0,0
37,ALLOC,,0,0,0,2600,2600,0,0
39,COPY_IN,MTE2,325,2600,2925,2600,0,1,1
41,ALLOC,,0,2759,2759,6357,3598,0,0
43,MOVE,MTE1,31,2925,2956,6357,3432,0,0
38,ALLOC,,0,0,0,2925,2925,0,0
40,COPY_IN,MTE2,325,2925,3250,2925,0,1,1
42,ALLOC,,0,2759,2759,6388,3629,0,0
44,MOVE,MTE1,31,3250,3281,6388,3138,0,0
45,MATMUL,CUBE,128,3281,3409,6419,3138,0,0
2963,FREE,,0,3409,3409,6547,3138,0,0
2964,FREE,,0,3409,3409,6578,3169,0,0
46,ALLOC,,0,0,0,3250,3250,0,0
48,COPY_IN,MTE2,325,3250,3575,3250,0,1,1
50,ALLOC,,0,3409,3409,6547,3138,0,0
52,MOVE,MTE1,31,3575,3606,6547,2972,0,0
47,ALLOC,,0,0,0,3575,3575,0,0
49,COPY_IN,MTE2,325,3575,3900,3575,0,1,1
51,ALLOC,,0,3409,3409,6578,3169,0,0
